,Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
17,Belgium,BEL,"Air transport, passengers carried",IS.AIR.PSGR,1366200.0,1402000.0,1457700.0,1562900.0,1606700.0,1585200.0,1682000.0,1839400.0,1976500.0,2042900.0,1974200.0,2053000.0,2000800.0,1956600.0,2031600.0,2188400.0,2233200.0,2362100.0,2604600.0,2812100.0,3132700.0,3018200.0,3146300.0,3650600.0,4192900.0,5000900.0,5173600.0,6872100.0,8748400.0,9965200.0,10738119.0,8489007.0,2341816.0,2904114.0,3264582.0,3340509.0,3641155.0,4078094.0,5878585.0,4858700.0,7528586.30424955,8638553.1,9508165.31494536,9521421.0,10535219.0,11473055.0,12545322.0,13676844.0,13639487.0,14279187.0,3520849.848,5404284.479,10165432.504,11390665.4189623
19,Burkina Faso,BFA,"Air transport, passengers carried",IS.AIR.PSGR,30100.0,31600.0,26500.0,28700.0,32500.0,36200.0,41900.0,47200.0,54700.0,59800.0,72800.0,75800.0,78200.0,93200.0,93400.0,100200.0,158400.0,126600.0,126200.0,131500.0,136600.0,126600.0,126600.0,128500.0,129500.0,137500.0,138400.0,96600.0,101600.0,147200.0,143529.0,100286.0,53236.0,54475.0,61364.0,66273.0,73131.0,77810.0,80543.0,79345.0,160000.0,133709.779171075,125693.696444909,138996.0,117420.0,122590.0,144950.0,145049.0,189545.336876033,185841.0,70228.0,112940.0,94070.0,103592.0
20,Bangladesh,BGD,"Air transport, passengers carried",IS.AIR.PSGR,,,,490000.0,431400.0,490500.0,453300.0,470300.0,544200.0,624200.0,613700.0,591400.0,621500.0,623000.0,741800.0,845300.0,852400.0,861000.0,1004900.0,997400.0,1044100.0,1020800.0,1051500.0,1083100.0,1215900.0,1261400.0,1252000.0,1314700.0,1152500.0,1215400.0,1331369.0,1449980.0,1536102.0,1587606.0,1650276.0,1634473.0,1729451.0,1242865.0,1224222.0,1409414.0,1818901.01882718,2022388.57221573,2195061.68029907,2781708.0,3051914.73321389,3997815.0,3815869.0,4660739.03831114,5677396.0,6260241.0,2984121.694,3750753.0,5267081.561,6628497.0
21,Bulgaria,BGR,"Air transport, passengers carried",IS.AIR.PSGR,988900.0,985200.0,1025000.0,1085000.0,1130000.0,1150000.0,1370000.0,1400000.0,1500000.0,1755000.0,1787500.0,1787000.0,1675000.0,1790000.0,1950000.0,2090000.0,1965300.0,2095000.0,2163600.0,1997700.0,1907000.0,645700.0,814000.0,915800.0,789200.0,862700.0,718200.0,721700.0,827700.0,734700.0,535246.0,233963.0,62798.0,310952.0,476277.0,653703.0,808451.0,855229.0,1073496.0,798165.0,801840.0,932868.0,973062.0,1013220.0,1060147.0,1063498.0,1092333.0,1133069.0,1022645.0,832828.0,443067.0,41126.0,643765.0,723825.0
22,Bahrain,BHR,"Air transport, passengers carried",IS.AIR.PSGR,241000.0,280000.0,320000.0,350000.0,127500.0,173000.0,240100.0,299800.0,374500.0,456500.0,521500.0,577800.0,569800.0,601800.0,674200.0,717500.0,647400.0,621500.0,698400.0,752800.0,770900.0,875500.0,981100.0,1080000.0,1150600.0,1072500.0,1200300.0,1164600.0,1207000.0,1307000.0,1382461.0,1250076.0,1255713.0,1850491.0,2284547.0,,,,,5215512.0,6028980.0,5590998.04060636,5861786.99900694,4626648.0,5171496.0,5313756.0,5220218.0,5190484.0,5877003.0,6440562.0,1451359.0,1840268.0,4692392.0,5734420.0
23,"Bahamas, The",BHS,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,232000.0,245000.0,252000.0,268000.0,314000.0,345000.0,740000.0,724000.0,699000.0,705900.0,860500.0,958200.0,995000.0,1066000.0,1150000.0,1090000.0,1090000.0,835000.0,862000.0,862000.0,936900.0,977500.0,703700.0,701000.0,1719400.0,1860623.0,1625689.0,1543274.0,1601347.0,900000.0,1020000.0,1033407.0,1089636.0,1088876.0,979042.0,967914.0,1056129.5948594,1048391.0668218,576996.0,991463.328879806,900028.0,937476.0,921470.0,1830394.86207463,1856546.0,1272798.762,1065149.134,1303311.916,1465432.189
28,Bolivia,BOL,"Air transport, passengers carried",IS.AIR.PSGR,244000.0,331100.0,379000.0,375700.0,475000.0,652500.0,744700.0,862300.0,1015600.0,1225500.0,1342000.0,1220300.0,1160100.0,1299000.0,1359500.0,1343300.0,1300700.0,1232600.0,1266700.0,1272600.0,1237600.0,1200000.0,1214400.0,1117000.0,1175200.0,1223700.0,1783500.0,2250800.0,2115500.0,1872600.0,1756608.0,1557128.0,1508700.0,1770774.0,1824313.0,1892343.0,1443165.0,1744663.0,1718196.0,1537032.0,1781340.0,2125912.52659794,2206069.76066974,2027888.0,3563043.5828127,4115271.0,3678739.0,4053427.35,4122113.0,4066959.0,2627202.201,4311879.56,5078536.0,5601302.305
29,Brazil,BRA,"Air transport, passengers carried",IS.AIR.PSGR,3339800.0,3911000.0,4671400.0,5842400.0,6855500.0,7772900.0,8799000.0,9514400.0,10621300.0,11856900.0,13008100.0,12594600.0,13168300.0,12605900.0,12948400.0,13402900.0,17194700.0,17068600.0,17010900.0,19410800.0,19149600.0,19153100.0,16388500.0,16535600.0,17898600.0,20196100.0,22011500.0,24307000.0,28091100.0,28205300.0,31287784.0,34285574.0,35889538.0,32372040.0,35263795.0,37661733.0,40945038.0,45286990.0,58763225.0,67945578.0,74627064.0,87860363.0,94752568.0,95591641.0,100403628.0,102039359.0,94142377.0,96395709.0,102109977.0,102917546.0,45405756.0,61896523.0,84337817.0,95398485.0
33,Botswana,BWA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,10400.0,39000.0,50000.0,46700.0,50300.0,54500.0,58900.0,54000.0,60100.0,57700.0,82100.0,101300.0,102300.0,111200.0,122600.0,100500.0,99900.0,104000.0,116400.0,123700.0,144100.0,163909.0,169526.0,179041.0,188842.0,212951.0,229987.0,213587.0,227624.0,236182.0,233515.0,290195.0,415864.084403732,415130.020977764,270996.0,205992.0,226549.0,254396.0,223673.0,253417.0,254439.0,,172017.0,124414.5,172720.0
35,Canada,CAN,"Air transport, passengers carried",IS.AIR.PSGR,10180300.0,10247300.0,11628500.0,14626800.0,16367500.0,16712900.0,16833100.0,17466400.0,18472000.0,20846400.0,22453000.0,22097100.0,19653800.0,18107900.0,19382600.0,19688400.0,20378500.0,19946500.0,22379400.0,21273800.0,20601400.0,16586500.0,16818300.0,17516500.0,18104800.0,20291100.0,22856000.0,23981500.0,24653300.0,24602000.0,41767974.0,40451914.0,23323029.0,35884417.0,40701307.0,45229860.0,46726978.0,52103547.0,53718757.0,52583516.0,63277409.3753385,66078011.9547392,70467400.7928687,71526725.918431,75528607.0,80228302.0,85406425.0,91404001.0,91504000.0,93352000.0,27620000.0,24951000.0,66876000.0,88618000.0
36,Central Europe and the Baltics,CEB,"Air transport, passengers carried",IS.AIR.PSGR,3799600.0,3806500.0,4411500.0,4884800.0,4862400.0,5252700.0,5839000.0,6213400.0,6626200.0,7313900.0,6945200.0,6431500.0,5223200.0,5941300.0,6658500.0,6989200.0,6920800.0,7246800.0,7416500.0,7661800.0,7188800.0,4707300.0,6010600.0,6537200.0,7385600.0,7324344.1,8216500.0,8745500.0,9570400.0,9991700.0,11117833.0,11445703.0,11808082.0,14065887.0,16768232.0,19040472.0,20221059.0,23721701.0,25261998.0,24733789.0,32710131.3790042,34477031.5945141,32490649.4684975,35246300.7486676,37875158.1831821,39811670.0,42884394.0,52125994.0,62622491.0,69934611.3,22490703.181,30389422.0,58561897.218,76248099.787
37,Switzerland,CHE,"Air transport, passengers carried",IS.AIR.PSGR,3397400.0,3926200.0,4054100.0,4514400.0,4575000.0,4691800.0,5084900.0,5437100.0,5686800.0,5887400.0,5930100.0,6220600.0,6252200.0,6266800.0,6254500.0,6506200.0,6707800.0,7213900.0,7483500.0,8229500.0,8603400.0,7973600.0,8255700.0,9152000.0,9338200.0,9859000.0,10468300.0,12481600.0,14298900.0,16209000.0,17268093.0,16914823.0,13295500.0,10118096.0,9287315.0,9662619.0,10647142.0,12298456.0,14352757.0,14701206.0,22146864.0,24866065.0,26386306.6034666,27503416.0,27923164.0,27011762.0,25859918.0,26732570.0,28857994.0,30339654.0,9009607.2,10988881.272,22773897.0,27725233.09
