Year;Month_Num;Month_Name;Stripe_Index;Date_Label;Recovery_Pct;CO2_per_Flight;Total_CO2_Mt;EUA_Price_EUR;Constant_100;Diff_Recovery;Diff_CO2;Diff_Total
2023;12;Dec;60;Dec 2023;93,6;3,925;14,27;71,43;100;15,4264;0,4117;2,0239
2024;1;Jan;61;Jan 2024;89,4;3,921;13,55;66,6;100;11,2264;0,4077;1,3039
2024;2;Feb;62;Feb 2024;94,0;3,809;12,92;57,59;100;15,8264;0,2957;0,6739
2024;3;Mar;63;Mar 2024;93,3;3,8;14,59;59,67;100;15,1264;0,2867;2,3439
2024;4;Apr;64;Apr 2024;96,7;3,716;15,84;66,28;100;18,5264;0,2027;3,5939
2024;5;May;65;May 2024;98,5;3,728;17,6;72,96;100;20,3264;0,2147;5,3539
2024;6;Jun;66;Jun 2024;97,8;3,72;18,34;69,71;100;19,6264;0,2067;6,0939
2024;7;Jul;67;Jul 2024;97,9;3,744;19,5;68,22;100;19,7264;0,2307;7,2539
2024;8;Aug;68;Aug 2024;98,5;3,768;19,45;71,26;100;20,3264;0,2547;7,2039
2024;9;Sep;69;Sep 2024;97,9;3,748;18,43;65,51;100;19,7264;0,2347;6,1839
2024;10;Oct;70;Oct 2024;98,7;3,775;17,69;63,93;100;20,5264;0,2617;5,4439
2024;11;Nov;71;Nov 2024;96,3;3,888;14,61;67,51;100;18,1264;0,3747;2,3639
2024;12;Dec;72;Dec 2024;98,3;3,975;15,11;67,49;100;20,1264;0,4617;2,8639
