LEVEL,AREA,YEAR,MONTH,MARKET_SEGMENT,FLIGHT_TYPE,FLIGHT_PHASE,NB_FLIGHTS,NOX_KG,SOX_KG,CO2_KG,DATE
NETWORK,ECAC,2019,1,lowcost,D,climb,10961,103449.20999999988,3644.709999999994,13678700.000000028,2019-01-01
NETWORK,ECAC,2019,1,lowcost,I,climb,203213,1207467.0700000022,45504.21999999981,170695299.9999987,2019-01-01
NETWORK,ECAC,2019,1,lowcost,D,taxi-in,10961,100.27999999999996,18.84,70700.0,2019-01-01
NETWORK,ECAC,2019,1,lowcost,I,taxi-in,203213,45014.12999999983,8882.260000000222,33372299.99999961,2019-01-01
NETWORK,ECAC,2019,1,lowcost,A,taxi-in,10927,4043.8700000000026,772.039999999999,2904799.999999997,2019-01-01
NETWORK,ECAC,2019,1,lowcost,O,taxi-in,639,0.76,0.17,600.0000000000001,2019-01-01
NETWORK,ECAC,2019,1,lowcost,D,taxi-out,10961,10099.290000000032,1913.6199999999933,7172199.999999994,2019-01-01
NETWORK,ECAC,2019,1,lowcost,O,taxi-out,639,25.26,4.95,18700.0,2019-01-01
NETWORK,ECAC,2019,1,lowcost,A,taxi-out,10927,100.97000000000004,19.8,73200.00000000003,2019-01-01
NETWORK,ECAC,2019,1,lowcost,I,taxi-out,203213,118179.8999999982,23368.46999999989,87574399.99999909,2019-01-01
NETWORK,ECAC,2019,1,mainline,I,cruise,157310,8764093.509999936,466372.54000000615,1749080000.0000105,2019-01-01
NETWORK,ECAC,2019,1,mainline,A,cruise,50512,9173721.57000002,479530.1500000029,1798384800.0000074,2019-01-01
NETWORK,ECAC,2019,1,mainline,O,cruise,9633,2324202.3600000106,110658.2400000003,415034400.00000054,2019-01-01
NETWORK,ECAC,2019,1,mainline,D,cruise,50401,14257679.470000116,612184.2900000057,2295824300.0000014,2019-01-01
NETWORK,ECAC,2019,1,mainline,D,descent,50401,264.41,22.64,84899.99999999999,2019-01-01
NETWORK,ECAC,2019,1,mainline,I,descent,157310,332397.9400000004,27639.529999999948,103674299.99999975,2019-01-01
NETWORK,ECAC,2019,1,mainline,A,descent,50512,258408.37999999968,18339.76999999993,68793999.99999987,2019-01-01
NETWORK,ECAC,2019,1,mainline,O,descent,9633,545.8999999999999,36.84,138299.99999999997,2019-01-01
NETWORK,ECAC,2019,1,mainline,D,climb,50401,1264454.5799999975,33066.30999999994,124012800.00000007,2019-01-01
NETWORK,ECAC,2019,1,mainline,I,climb,157310,1163084.4700000004,40271.330000000205,151042700.0000008,2019-01-01
NETWORK,ECAC,2019,1,mainline,A,climb,50512,603.3599999999999,20.39,76800.0,2019-01-01
NETWORK,ECAC,2019,1,mainline,O,climb,9633,1347.23,52.07000000000001,195400.0,2019-01-01
NETWORK,ECAC,2019,1,mainline,D,taxi-in,50401,36.940000000000005,6.91,26200.000000000004,2019-01-01
NETWORK,ECAC,2019,1,mainline,A,taxi-in,50512,52247.36999999997,8924.460000000014,33488100.000000015,2019-01-01
NETWORK,ECAC,2019,1,mainline,I,taxi-in,157310,48592.44,8924.030000000068,33488999.99999987,2019-01-01
NETWORK,ECAC,2019,1,mainline,D,taxi-out,50401,124991.93000000068,21355.65,80085899.99999991,2019-01-01
NETWORK,ECAC,2019,1,mainline,O,taxi-out,9633,78.0,14.460000000000004,55299.99999999999,2019-01-01
NETWORK,ECAC,2019,1,mainline,A,taxi-out,50512,50.68,9.95,36800.0,2019-01-01
NETWORK,ECAC,2019,1,mainline,I,taxi-out,157310,126037.2200000006,23291.89999999998,87292000.00000018,2019-01-01
NETWORK,ECAC,2019,1,other,A,cruise,6027,581482.7499999991,32925.17000000012,123522899.99999994,2019-01-01
NETWORK,ECAC,2019,1,other,O,cruise,1776,478552.71000000107,20406.310000000005,76541599.99999996,2019-01-01
NETWORK,ECAC,2019,1,other,D,cruise,5755,801828.5700000033,38525.31999999992,144524400.00000036,2019-01-01
NETWORK,ECAC,2019,1,other,I,cruise,28169,845354.9300000635,51289.29999999933,192525100.00001204,2019-01-01
NETWORK,ECAC,2019,1,other,D,descent,5755,1196.7899999999995,303.2699999999997,1138100.0000000007,2019-01-01
NETWORK,ECAC,2019,1,other,O,descent,1776,4153.78,373.40000000000015,1401399.9999999995,2019-01-01
NETWORK,ECAC,2019,1,other,A,descent,6027,16676.16000000002,1628.5899999999983,6117499.999999997,2019-01-01
NETWORK,ECAC,2019,1,other,I,descent,28169,53695.72999999973,7196.560000000246,27049999.99999972,2019-01-01
NETWORK,ECAC,2019,1,other,A,climb,6027,4999.560000000001,508.81,1909299.999999999,2019-01-01
NETWORK,ECAC,2019,1,other,O,climb,1776,11482.409999999994,358.0799999999998,1343700.0,2019-01-01
NETWORK,ECAC,2019,1,other,D,climb,5755,73978.96000000004,2596.1199999999963,9745699.999999993,2019-01-01
NETWORK,ECAC,2019,1,other,I,climb,28169,116456.9500000002,7162.420000000092,26914899.999999985,2019-01-01
NETWORK,ECAC,2019,1,other,A,taxi-in,6027,1662.2599999999995,296.2200000000003,1117600.0000000014,2019-01-01
NETWORK,ECAC,2019,1,other,D,taxi-in,5755,1.95,0.37,1400.0,2019-01-01
NETWORK,ECAC,2019,1,other,I,taxi-in,28169,2350.4099999999976,457.72999999999536,1739699.9999999867,2019-01-01
NETWORK,ECAC,2019,1,other,I,taxi-out,28169,7677.170000000236,1932.9299999998225,7288600.000000197,2019-01-01
NETWORK,ECAC,2019,1,other,D,taxi-out,5755,5025.990000000002,985.0299999999968,3703099.9999999935,2019-01-01
NETWORK,ECAC,2019,1,other,A,taxi-out,6027,152.85000000000022,100.73000000000032,376999.99999999965,2019-01-01
NETWORK,ECAC,2019,1,other,O,taxi-out,1776,187.4500000000002,41.59999999999999,157699.9999999999,2019-01-01
NETWORK,ECAC,2019,1,regional,D,cruise,2315,38548.14999999997,3736.420000000003,14013600.000000011,2019-01-01
NETWORK,ECAC,2019,1,regional,A,cruise,2297,21583.540000000005,2625.169999999995,9846799.999999996,2019-01-01
NETWORK,ECAC,2019,1,regional,O,cruise,296,1561.9199999999998,194.83000000000004,731199.9999999998,2019-01-01
NETWORK,ECAC,2019,1,regional,I,cruise,116862,1025959.9599999988,115662.3099999999,433802699.9999982,2019-01-01
NETWORK,ECAC,2019,1,regional,A,descent,2297,1507.759999999999,197.08,738999.9999999999,2019-01-01
